时间,PID1.MV,PID1.PV,PID1.SV,PID1.KP,PID1.TI,PID1.TD,PID1.H,PID1.L,SIN1.AMPLITUDE,SIN1.PERIOD,SIN1.PHASE,TANK1.LEVEL,TANK1.HEIGHT,TANK1.RADIUS,TANK1.INLET_AREA,TANK1.INLET_VELOCITY,TANK1.OUTLET_AREA,TANK1.INITIAL_LEVEL,TANK1.VALVE_OPENING,VALVE1.CURRENT_OPENING,VALVE1.MIN_OPENING,VALVE1.MAX_OPENING,VALVE1.FULL_TRAVEL_TIME,VALVE1.INITIAL_OPENING,VALVE1.TARGET_OPENING,NON_SENSE_1.OUT,NON_SENSE_1.L,NON_SENSE_1.H,NON_SENSE_1.MAX_STEP,NON_SENSE_2.OUT,NON_SENSE_2.L,NON_SENSE_2.H,NON_SENSE_2.MAX_STEP,SIN1.OUT,NON_SENSE_3,NON_SENSE_4
1970-01-01 08:00:11,76.36597702008153,0.1894792941528266,5.495017991244574,12.0,30,0.15,100.0,0.0,100.0,1200,0.0,0.2099145881481076,10.0,1.0,0.06,3.0,0.001,0.0,72.40380147010839,76.36597702008153,0.0,100.0,10.0,0.0,76.36597702008153,67.47956612926366,0.0,100.0,3.0,37.13549792515874,0.0,100.0,3.0,5.756402695956727,141.75056197958114,-0.3698918092766076
1970-01-01 08:00:12,80.36253939930367,0.2099145881481076,5.756402695956727,12.0,30,0.15,100.0,0.0,100.0,1200,0.0,0.23146883766759574,10.0,1.0,0.06,3.0,0.001,0.0,76.36597702008153,80.36253939930367,0.0,100.0,10.0,0.0,80.36253939930367,70.47956612926366,0.0,100.0,3.0,34.13549792515874,0.0,100.0,3.0,6.017747946929345,138.75056197958114,0.4973011639715878
1970-01-01 08:00:12,84.39311696524409,0.23146883766759574,6.017747946929345,12.0,30,0.15,100.0,0.0,100.0,1200,0.0,0.25415184055735707,10.0,1.0,0.06,3.0,0.001,0.0,80.36253939930367,84.39311696524409,0.0,100.0,10.0,0.0,84.39311696524409,73.47956612926366,0.0,100.0,3.0,37.13549792515874,0.0,100.0,3.0,6.279051952931337,147.75056197958114,-0.09556121659701378
1970-01-01 08:00:13,88.45733703103843,0.25415184055735707,6.279051952931337,12.0,30,0.15,100.0,0.0,100.0,1200,0.0,0.27797328861752074,10.0,1.0,0.06,3.0,0.001,0.0,84.39311696524409,88.45733703103843,0.0,100.0,10.0,0.0,88.45733703103843,70.47956612926366,0.0,100.0,3.0,40.13549792515874,0.0,100.0,3.0,6.540312923014308,150.75056197958114,-0.04586929270991409
1970-01-01 08:00:13,92.55482589026954,0.27797328861752074,6.540312923014308,12.0,30,0.15,100.0,0.0,100.0,1200,0.0,0.3029427673229717,10.0,1.0,0.06,3.0,0.001,0.0,88.45733703103843,92.55482589026954,0.0,100.0,10.0,0.0,92.55482589026954,73.47956612926366,0.0,100.0,3.0,43.13549792515874,0.0,100.0,3.0,6.801529066524817,159.75056197958114,0.45347761063510544
1970-01-01 08:00:14,96.6852088417867,0.3029427673229717,6.801529066524817,12.0,30,0.15,100.0,0.0,100.0,1200,0.0,0.3290697555465661,10.0,1.0,0.06,3.0,0.001,0.0,92.55482589026954,96.6852088417867,0.0,100.0,10.0,0.0,96.6852088417867,70.47956612926366,0.0,100.0,3.0,40.13549792515874,0.0,100.0,3.0,7.062698593116668,150.75056197958114,-0.04586929270991409
1970-01-01 08:00:14,100.0,0.3290697555465661,7.062698593116668,12.0,30,0.15,100.0,0.0,100.0,1200,0.0,0.3563636252859587,10.0,1.0,0.06,3.0,0.001,0.0,96.6852088417867,100.0,0.0,100.0,10.0,0.0,100.0,73.47956612926366,0.0,100.0,3.0,37.13549792515874,0.0,100.0,3.0,7.323819712763169,147.75056197958114,-0.09556121659701378
1970-01-01 08:00:15,100.0,0.3563636252859587,7.323819712763169,12.0,30,0.15,100.0,0.0,100.0,1200,0.0,0.3845906757155653,10.0,1.0,0.06,3.0,0.001,0.0,100.0,100.0,0.0,100.0,10.0,0.0,100.0,70.47956612926366,0.0,100.0,3.0,34.13549792515874,0.0,100.0,3.0,7.584890635769402,138.75056197958114,0.4973011639715878
1970-01-01 08:00:15,100.0,0.3845906757155653,7.584890635769402,12.0,30,0.15,100.0,0.0,100.0,1200,0.0,0.41280137669129113,10.0,1.0,0.06,3.0,0.001,0.0,100.0,100.0,0.0,100.0,10.0,0.0,100.0,67.47956612926366,0.0,100.0,3.0,31.658400691718413,0.0,100.0,3.0,7.845909572784494,130.7963675127005,-0.9129778370905443
1970-01-01 08:00:16,100.0,0.41280137669129113,7.845909572784494,12.0,30,0.15,100.0,0.0,100.0,1200,0.0,0.4409963269422814,10.0,1.0,0.06,3.0,0.001,0.0,100.0,100.0,0.0,100.0,10.0,0.0,100.0,70.47956612926366,0.0,100.0,3.0,28.658400691718413,0.0,100.0,3.0,8.106874734813877,127.79636751270048,0.8462629533136967
